"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\App.css", "CSS", 0, 10, 0, 1, 11
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\App.jsx", "JavaScript JSX", 17, 0, 0, 4, 21
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\components\Cabecalho\Cabecalho.css", "CSS", 0, 14, 0, 2, 16
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\components\Cabecalho\Header.jsx", "JavaScript JSX", 9, 0, 0, 2, 11
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\components\Register\OcorrenciaForm.css", "CSS", 0, 34, 0, 7, 41
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\components\Register\OcorrenciaForm.jsx", "JavaScript JSX", 89, 0, 2, 15, 106
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\components\Register\Register.css", "CSS", 0, 6, 0, 0, 6
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\components\Register\Register.jsx", "JavaScript JSX", 9, 0, 0, 1, 10
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\index.css", "CSS", 0, 14, 0, 2, 16
"c:\Users\kingz\Documents\GitHub\bd2\geocrime\src\main.jsx", "JavaScript JSX", 9, 0, 0, 2, 11
"Total", "-", 133, 78, 2, 36, 249